ACCESSION_NUMBER,HOLDING_ID,ISSUER_NAME,ISSUER_LEI,ISSUER_TITLE,ISSUER_CUSIP,BALANCE,UNIT,OTHER_UNIT_DESC,CURRENCY_CODE,CURRENCY_VALUE,EXCHANGE_RATE,PERCENTAGE,PAYOFF_PROFILE,ASSET_CAT,OTHER_ASSET,ISSUER_TYPE,OTHER_ISSUER,INVESTMENT_COUNTRY,IS_RESTRICTED_SECURITY,FAIR_VALUE_LEVEL,DERIVATIVE_CAT
0001752724-25-204874,152745005,Elevance Health Inc,8MYN82XMYQH89CTMTH67,"Elevance Health, Inc",036752103,671,NS,,USD,260992.16,,0.001222181875,Long,EC,,CORP,,US,N,1,
0001752724-25-204874,152746695,NIDEC CORP,353800IF171MZTNL6Y31,Nidec Corp,J52968104,717600,NS,,JPY,13945182.49,144.005,0.06530291671,Long,EC,,CORP,,JP,N,2,
0001752724-25-204874,152745502,Ingersoll Rand Inc,5299004C02FMZCUOIR50,"Ingersoll Rand, Inc",45687V106,693015,NS,,USD,57644987.7,,0.26994166862,Long,EC,,CORP,,US,N,1,
0001752724-25-204874,152745518,Starwood Commercial Mortgage T,,STWD Mortgage Trust,78486EAG3,1125000,PA,,USD,1122076.58,,0.005254493693,Long,ABS-MBS,,CORP,,US,Y,2,
0001752724-25-204874,152747649,LKQ Corp,DS830JTTZQN6GK0I2E41,LKQ Corp,501889208,4907,NS,,USD,181608.07,,0.000850439689,Long,EC,,CORP,,US,N,1,
0001752724-25-204874,152747091,Freddie Mac - STACR,5493000IS30HKV5IAS29,Freddie Mac STACR REMIC Trust,35564KH44,6442557,PA,,USD,6791525.19,,0.031803556829,Long,ABS-CBDO,,USGSE,,US,Y,2,
0001752724-25-204874,152744978,Parker-Hannifin Corp,5493002CONDB4N2HKI23,Parker-Hannifin Corp,701094104,61043,NS,,USD,42636704.21,,0.199660430822,Long,EC,,CORP,,US,N,1,
0001752724-25-204874,152747851,Fannie Mae,B1V7KEBTPIMZEU4LTD58,Fannie Mae REMICS,3136BNY67,1959639.74,PA,,USD,1688346.04,,0.007906237219,Long,ABS-CBDO,,USGSE,,US,N,2,
0001752724-25-204874,152745623,TAMPA BAY FL WTR REGL WTR SPLY,,Tampa Bay Water,875124ES4,3225000,PA,,USD,3220588.52,,0.015081468028,Long,DBT,,MUN,,US,N,2,
0001752724-25-204874,152745936,Mastercard Inc,AR5L2ODV9HN37376R084,"Mastercard, Inc (Class A)",57636Q104,253047,NS,,USD,142197231.18,,0.665885437563,Long,EC,,CORP,,US,N,1,
0001752724-25-204874,152746792,NORFOLK SOUTHERN CORP,54930036C8MWP850MI84,Norfolk Southern Corp,655844CK2,6000000,PA,,USD,5332988.34,,0.024973476943,Long,DBT,,CORP,,US,N,2,
0001752724-25-204874,152746990,WPP PLC,549300LSGBXPYHXGDT93,WPP plc,G9788D103,1297978,NS,,GBP,9139044.86,.728518,0.042796591994,Long,EC,,CORP,,GB,N,2,
0001752724-25-204874,152747345,Tokyo Electron Ltd,549300H5LSF8DP3RIJ34,Tokyo Electron Ltd,J86957115,156700,NS,,JPY,30009514.85,144.005,0.140529451671,Long,EC,,CORP,,JP,N,2,
0001752724-25-204874,152745141,Japan International Cooperation Agency,254900XEIG78M2AJB031,Japan International Cooperation Agency,47109LAJ3,3930000,PA,,USD,3962214.09,,0.018554374379,Long,DBT,,NUSS,,JP,N,2,
0001752724-25-204874,152746167,UNILEVER CAPITAL CORP,MYF1DAS6G5WY7PRWCU78,Unilever Capital Corp,904764AU1,11075000,PA,,USD,10826122.93,,0.050696891525,Long,DBT,,CORP,,US,N,2,
0001752724-25-204874,152746905,Fannie Mae,B1V7KEBTPIMZEU4LTD58,Fannie Mae Pool,3138EQZS4,2388077.85,PA,,USD,2216499.57,,0.01037949033,Long,ABS-MBS,,USGSE,,US,N,2,
0001752724-25-204874,152745490,Asian Infrastructure Investment Bank/The,25490065OSV2524LCR32,Asian Infrastructure Investment Bank,04522KAG1,3000000,PA,,USD,3019100.97,,0.014137936117,Long,DBT,,NUSS,,,Y,2,
0001752724-25-204874,152745278,EXPORT DEVELOPMNT CANADA,Z6MHCSLXHKYG4B6PHW02,Export Development Canada,30216BJW3,13050000,PA,,USD,13083086.71,,0.061265868865,Long,DBT,,NUSS,,CA,N,2,
0001752724-25-204874,152745624,Omnicom Group Inc,HKUPACFHSSASQK8HLS17,"Omnicom Group, Inc",681919106,3513,NS,,USD,252725.22,,0.001183469201,Long,EC,,CORP,,US,N,1,
0001752724-25-204874,152747227,Government National Mortgage A,549300M8ZYFG0OCMTT87,Government National Mortgage Association,38383T6G3,2629052.66,PA,,USD,2167907.1,,0.010151940061,Long,ABS-CBDO,,USGSE,,US,N,2,
0001752724-25-204874,152745704,Loanpal Solar Loan Ltd.,,Loanpal Solar Loan Ltd,53948QAA4,4654821.67,PA,,USD,3767133.21,,0.017640843813,Long,ABS-O,,CORP,,US,Y,2,
0001752724-25-204874,152745569,Freddie Mac STACR REMIC Trust 2023-HQA3,529900ZTXRUUVE8G8W08,Freddie Mac STACR REMIC Trust,35564NAA1,3755000,PA,,USD,3966308.12,,0.018573546025,Long,ABS-CBDO,,CORP,,US,Y,2,
0001752724-25-204874,152746912,Lam Research Corp,549300I4GMO6D34U1T02,Lam Research Corp,512807306,949684,NS,,USD,92442240.56,,0.432891282719,Long,EC,,CORP,,US,N,1,
0001752724-25-204874,152746952,INTER-AMERICAN DEVEL BK,VKU1UKDS9E7LYLMACP54,Inter-American Development Bank,4581X0EJ3,15800000,PA,,USD,15122853.55,,0.070817749894,Long,DBT,,NUSS,,,N,2,
0001752724-25-204874,152747643,Tennessee Valley Authority Discount Notes,549300HE1ISW43LNKM54,Tennessee Valley Authority Discount Notes,880590HX5,1000000,PA,,USD,998957.5,,0.004677947991,Long,STIV,,USGSE,,US,N,2,
0001752724-25-204874,152745868,AES CORP/THE,2NUNNB7D43COUIRE5295,AES Corp,00130HCH6,5704000,PA,,USD,5828861.64,,0.02729556723,Long,DBT,,CORP,,US,N,2,
0001752724-25-204874,152747460,Central American Bank for Economic Integration,549300OLDAMXBPSHIC05,Central American Bank for Economic Integration,15238PAK2,7250000,PA,,USD,7366463.86,,0.03449589679,Long,DBT,,NUSS,,,Y,2,
0001752724-25-204874,152746703,Fanniemae-Aces,B1V7KEBTPIMZEU4LTD58,Fannie Mae-Aces,3136B2GX4,3142213.97,PA,,USD,3079653.43,,0.014421492983,Long,ABS-MBS,,USGSE,,US,N,2,
0001752724-25-204874,152745435,DCC PLC,213800UPS1QEE4TD3T45,DCC plc,G2689P101,117139,NS,,GBP,7602387.15,.728518,0.035600685413,Long,EC,,CORP,,GB,N,2,
0001752724-25-204874,152745063,Moncler SpA,815600EBD7FB00525B20,Moncler S.p.A,T6730E110,173836,NS,,EUR,9915866.47,.848932,0.046434315411,Long,EC,,CORP,,IT,N,2,
0001752724-25-204874,152746456,Government National Mortgage A,549300M8ZYFG0OCMTT87,Government National Mortgage Association,38383V7J1,3631432.59,PA,,USD,3611786.54,,0.016913381791,Long,ABS-CBDO,,USGSE,,US,N,2,
0001752724-25-204874,152746568,Citigroup Commercial Mortgage,,Citigroup Commercial Mortgage Trust,17328FAY1,1615000,PA,,USD,1474795.55,,0.006906216611,Long,ABS-MBS,,CORP,,US,N,2,
0001752724-25-204874,152745186,Edwards Lifesciences Corp,YA13X31F3V31L8TMPR58,Edwards Lifesciences Corp,28176E108,484813,NS,,USD,37917224.73,,0.177559911476,Long,EC,,CORP,,US,N,1,
0001752724-25-204874,152747510,Mosaic Solar Loan Trust 2024-1,,Mosaic Solar Loan Trust,618937AD8,1305000,PA,,USD,813253.82,,0.003808329257,Long,ABS-O,,CORP,,US,Y,2,
0001752724-25-204874,152745304,Freddie Mac REMICS,S6XOOCT0IEG5ABCC6L87,Freddie Mac REMICS,3137FDFK3,1241356.78,PA,,USD,1169313.52,,0.005475696245,Long,ABS-CBDO,,USGSE,,US,N,2,
0001752724-25-204874,152745556,Visa Inc,549300JZ4OKEHW3DPJ59,"Visa, Inc (Class A)",92826C839,475099,NS,,USD,168683899.95,,0.789918000483,Long,EC,,CORP,,US,N,1,
0001752724-25-204874,152747666,HSBC Holdings PLC,MLU0ZO3ML4LN2LL2TL39,HSBC Holdings plc,G4634U169,4488424,NS,,GBP,54292785.48,.728518,0.254243876029,Long,EC,,CORP,,GB,N,2,
0001752724-25-204874,152747208,REPUBLIC OF CHILE,549300FLZTJM5YJF8D34,Chile Government International Bond,168863DS4,10075000,PA,,USD,7479277,,0.035024181529,Long,DBT,,NUSS,,CL,N,2,
0001752724-25-204874,152745455,CALIFORNIA ST MUNI FIN AUTH MO,5493000UQOV6R4ZWS346,California Municipal Finance Authority,13049SDS0,50000,PA,,USD,47105.19,,0.000220585589,Long,DBT,,MUN,,US,N,2,
0001752724-25-204874,152744993,SALES TAX SECURITIZATION CORP,,Sales Tax Securitization Corp,79467BFT7,1005000,PA,,USD,983513.5,,0.004605626367,Long,DBT,,MUN,,US,N,2,
0001752724-25-204874,152745784,UNIV OF NEW MEXICO NM,549300WZXG6PIBC7KB43,University of New Mexico,914692X60,18000000,PA,,USD,17551456.2,,0.082190482856,Long,DBT,,MUN,,US,N,2,
0001752724-25-204874,152745792,LAVACA-NAVIDAD RIVER TX AUTH,,Lavaca-Navidad River Authority,519385DJ4,6430000,PA,,USD,6333247.15,,0.029657518748,Long,DBT,,MUN,,US,N,2,
0001752724-25-204874,152745230,PACIFIC GAS & ELECTRIC,1HNPXZSMMB7HMBMVBS46,Pacific Gas and Electric Co,694308KK2,21737000,PA,,USD,21795911.4,,0.102066544328,Long,DBT,,CORP,,US,N,2,
0001752724-25-204874,152747043,PUBLIC SERVICE ELECTRIC,549300RUHPVD434XUK18,Public Service Electric and Gas Co,74456QCL8,4875000,PA,,USD,4845016.41,,0.022688387427,Long,DBT,,CORP,,US,N,2,
0001752724-25-204874,152747172,Ralliant Corp,,Ralliant Corp,750940108,626.668,NS,,USD,30387.13,,0.000142297759,Long,EC,,CORP,,US,N,2,
0001752724-25-204874,152746344,ITALY GOV'T INT BOND,815600DE60799F5A9309,Republic of Italy Government International Bond,465410BZ0,7750000,PA,,USD,5645988.31,,0.026439202543,Long,DBT,,NUSS,,IT,N,2,
0001752724-25-204874,152746163,Koninklijke Ahold Delhaize NV,724500C9GNBV20UYRX36,Koninklijke Ahold Delhaize NV,N0074E105,424161,NS,,EUR,17715694.73,.848932,0.082959583946,Long,EC,,CORP,,NL,N,2,
0001752724-25-204874,152745390,Swisscom AG,5493005SL9HHOXS3B739,Swisscom AG.,H8398N104,13786,NS,,CHF,9789279.48,.79345,0.045841530076,Long,EC,,CORP,,CH,N,2,
0001752724-25-204874,152746994,Nintendo Co Ltd,353800FEEXU6I9M0ZF27,Nintendo Co Ltd,J51699106,172800,NS,,JPY,16593946.53,144.005,0.077706628,Long,EC,,CORP,,JP,N,2,
0001752724-25-204874,152745152,Government National Mortgage A,549300M8ZYFG0OCMTT87,Ginnie Mae II Pool,36179WTZ1,39232949.43,PA,,USD,34717543.36,,0.162576348073,Long,ABS-MBS,,USGSE,,US,N,2,
0001752724-25-204874,152747603,EUROPEAN INVESTMENT BANK,5493006YXS1U5GIHE750,European Investment Bank,298785DV5,2000000,PA,,USD,2093512,,0.009803560467,Long,DBT,,NUSS,,,N,2,
0001752724-25-204874,152745310,D'ieteren Group,549300DV5KJ23OKVTW34,Dieteren S.A.,B49343187,25675,NS,,EUR,5529094.91,.848932,0.025891810641,Long,EC,,CORP,,BE,N,2,
0001752724-25-204874,152747405,Freddie Mac,S6XOOCT0IEG5ABCC6L87,Freddie Mac Gold Pool,3128MJMC1,107616.2,PA,,USD,109087.21,,0.000510836842,Long,ABS-MBS,,MUN,,US,N,2,
0001752724-25-204874,152747454,Banco Bilbao Vizcaya Argentaria SA,K8MS7FD7N5Z2WQ51AZ71,Banco Bilbao Vizcaya Argentaria S.A.,E11805103,1898617,NS,,EUR,29235425.81,.848932,0.136904524415,Long,EC,,CORP,,ES,N,2,
0001752724-25-204874,152746379,CELULOSA ARAUCO CONSTITU,549300QEKV8G0AMNQD28,Celulosa Arauco y Constitucion S.A.,151191BJ1,6550000,PA,,USD,6271010.61,,0.029366075621,Long,DBT,,CORP,,CL,Y,2,
0001752724-25-204874,152745554,Netflix Inc,549300Y7VHGU0I7CE873,"Netflix, Inc",64110L106,127299,NS,,USD,170469909.87,,0.798281581034,Long,EC,,CORP,,US,N,1,
0001752724-25-204874,152745077,Freddie Mac Pool,S6XOOCT0IEG5ABCC6L87,Freddie Mac Pool,3132DPBM9,456808.46,PA,,USD,397899.33,,0.001863294856,Long,ABS-MBS,,USGSE,,US,N,2,
0001752724-25-204874,152745419,Freddie Mac Pool,S6XOOCT0IEG5ABCC6L87,Freddie Mac Pool,3132XEFE6,1853500,PA,,USD,1687535.02,,0.00790243935,Long,ABS-MBS,,USGSE,,US,N,2,
0001752724-25-204874,152745534,Sartorius AG,529900EQV2DY4FOAMU38,Sartorius AG.,D6705R119,31149,NS,,EUR,7933584.39,.848932,0.037151625732,Long,EC,,CORP,,DE,N,2,
0001752724-25-204874,152747744,Fannie Mae,B1V7KEBTPIMZEU4LTD58,Fannie Mae Pool,31418BGE0,601601.22,PA,,USD,587610.23,,0.00275167872,Long,ABS-MBS,,USGSE,,US,N,2,
0001752724-25-204874,152746222,Government National Mortgage A,549300M8ZYFG0OCMTT87,Ginnie Mae I Pool,3617LYQM5,10523746.78,PA,,USD,9836582.84,,0.046063043662,Long,ABS-O,,USGSE,,US,N,2,
0001752724-25-204874,152746500,SAN FRANCISCO CITY & CNTY CA C,,City & County of San Francisco CA Community Facilities District No 2014-1,79772EEU9,1240000,PA,,USD,1278678.2,,0.005987832432,Long,DBT,,MUN,,US,N,2,
0001752724-25-204874,152747024,UBS Group AG,549300SZJ9VS8SGXAN81,UBS Group AG.,902613BJ6,10250000,PA,,USD,10526745.39,,0.049294957447,Long,DBT,,CORP,,CH,Y,2,
0001752724-25-204874,152745431,Fannie Mae,B1V7KEBTPIMZEU4LTD58,Fannie Mae Pool,31418CCP7,257648.2,PA,,USD,224079.66,,0.001049326918,Long,ABS-MBS,,USGSE,,US,N,2,
0001752724-25-204874,152745641,BANQUE OUEST AFRICAINE D,529900LIZJABE4JJS826,Banque Ouest Africaine de Developpement,BN5341076,7925000,PA,,EUR,7908393.42,.848932,0.037033660706,Long,DBT,,NUSS,,,Y,2,
0001752724-25-204874,152747720,Flagstar Mortgage Trust,,Flagstar Mortgage Trust,33852EAD1,1254516.44,PA,,USD,1017276.84,,0.004763734343,Long,ABS-CBDO,,CORP,,US,Y,2,
0001752724-25-204874,152745471,Fannie Mae,B1V7KEBTPIMZEU4LTD58,Fannie Mae Pool,31418EHK9,199146400.02,PA,,USD,190850036.67,,0.893718246989,Long,ABS-MBS,,USGSE,,US,N,2,
0001752724-25-204874,152747598,RCKT Mortgage Trust 2021-5,,RCKT Mortgage Trust,749384BW2,4755960.7,PA,,USD,3775508.94,,0.017680065931,Long,ABS-CBDO,,CORP,,US,Y,2,
0001752724-25-204874,152746646,Oceanview Mortgage Trust,,Oceanview Mortgage Trust,67647LAU5,1369217.89,PA,,USD,1110287.29,,0.005199286454,Long,ABS-CBDO,,CORP,,US,Y,2,
0001752724-25-204874,152745073,JP Morgan Mortgage Trust,,JP Morgan Mortgage Trust,46649YAN5,159200.19,PA,,USD,149039.35,,0.000697925915,Long,ABS-CBDO,,CORP,,US,Y,2,
0001752724-25-204874,152746828,GS Mortgage-Backed Securities Trust 2025-PJ4,,GS Mortgage-Backed Securities Trust,36271WAU9,1175523.54,PA,,USD,1179068.92,,0.005521379123,Long,ABS-CBDO,,USGSE,,US,Y,2,
0001752724-25-204874,152745768,Microsoft Corp,INR2EJN1ERAN0W5ZP974,Microsoft Corp,594918104,1421959,NS,,USD,707296626.19,,3.312149747987,Long,EC,,CORP,,US,N,1,
0001752724-25-204874,152745991,Private Export Funding Corp,CYQE6SAYPFKNQJ6FMH60,Private Export Funding Corp,742651EA6,13500000,PA,,USD,13722426.14,,0.064259786627,Long,DBT,,CORP,,US,N,2,
0001752724-25-204874,152747503,Maryland Economic Development Corp,549300JJ16DDBSZWSN94,Maryland Economic Development Corp,574205JJ0,1500000,PA,,USD,1429797.75,,0.006695499571,Long,DBT,,MUN,,US,N,2,
0001752724-25-204874,152745400,Morgan Stanley Bank NA,G1MLHIS0N32I3QPILB75,Morgan Stanley Bank NA,61690U8B9,7750000,PA,,USD,7913643.19,,0.037058244485,Long,DBT,,CORP,,US,N,2,
0001752724-25-204874,152745861,GS Mortgage-Backed Securities Trust 2022-PJ6,,GS Mortgage-Backed Securities Trust,36267JAF7,17611554.02,PA,,USD,14985747.05,,0.070175703484,Long,ABS-CBDO,,CORP,,US,Y,2,
0001752724-25-204874,152746304,Texas Instruments Inc,WDJNR2L6D8RWOEB8T652,"Texas Instruments, Inc",882508104,493684,NS,,USD,102498672.08,,0.47998384034,Long,EC,,CORP,,US,N,1,
0001752724-25-204874,152745582,SOCIEDAD DE TRANSMISION,,Sociedad de Transmision Austral S.A.,83364AAA1,4376000,PA,,USD,4073045.14,,0.019073377327,Long,DBT,,CORP,,CL,Y,2,
0001752724-25-204874,152747817,ING GROEP NV,549300NYKK9MWM7GGW15,ING Groep NV,456837AU7,10000000,PA,,USD,10000000,,0.046828298416,Long,DBT,,CORP,,NL,Y,2,
0001752724-25-204874,152745826,CSL Ltd,529900ECSECK5ZDQTE14,CSL Ltd,Q3018U109,146823,NS,,AUD,23192243.45,1.51941,0.108605329721,Long,EC,,CORP,,AU,N,2,
0001752724-25-204874,152746612,Fannie Mae - CAS,,Connecticut Avenue Securities Trust,20754DAB3,4985000,PA,,USD,5121410.54,,0.023982694107,Long,ABS-CBDO,,CORP,,US,Y,2,
0001752724-25-204874,152747689,Government National Mortgage A,549300M8ZYFG0OCMTT87,Government National Mortgage Association,38383DQ27,11388299.65,PA,,USD,8154471.25,,0.038186001311,Long,ABS-CBDO,,USGSE,,US,N,2,
0001752724-25-204874,152745412,Fannie Mae,B1V7KEBTPIMZEU4LTD58,Fannie Mae Pool,3140QPHW0,11415412.07,PA,,USD,10318355.7,,0.048319103988,Long,ABS-MBS,,USGSE,,US,N,2,
0001752724-25-204874,152746898,JPMorgan Chase & Co,8I5DZWZKVSZI1NUHU748,JPMorgan Chase & Co,46647PDW3,5000000,PA,,USD,5108582.1,,0.023922620706,Long,DBT,,CORP,,US,N,2,
0001752724-25-204874,152745850,Atlas Copco AB,213800T8PC8Q4FYJZR07,Atlas Copco AB,W1R924252,1170785,NS,,SEK,18926911.5,9.4609,0.088631505981,Long,EC,,CORP,,SE,N,2,
0001752724-25-204874,152745594,Flagstar Mortgage Trust 2019-2,,Flagstar Mortgage Trust,33852BAR6,801585.78,PA,,USD,723220.75,,0.00338671971,Long,ABS-CBDO,,CORP,,US,Y,2,
0001752724-25-204874,152745180,QBE Insurance Group Ltd,549300D2FBW76FPUSG65,QBE Insurance Group Ltd,Q78063114,994094,NS,,AUD,15308173.5,1.51941,0.071685571686,Long,EC,,CORP,,AU,N,2,
0001752724-25-204874,152746438,Government National Mortgage A,549300M8ZYFG0OCMTT87,Government National Mortgage Association,38380WZL6,878376.6,PA,,USD,99251.99,,0.00046478018,Long,ABS-CBDO,,USGSE,,US,N,2,
0001752724-25-204874,152745417,UBS Group AG,549300SZJ9VS8SGXAN81,UBS Group AG.,902613BE7,3375000,PA,,USD,3902887.13,,0.01827655632,Long,DBT,,CORP,,CH,Y,2,
0001752724-25-204874,152746785,Freddie Mac Pool,S6XOOCT0IEG5ABCC6L87,Freddie Mac Pool,3132DWEC3,239654.53,PA,,USD,229392.78,,0.001074207355,Long,ABS-MBS,,USGSE,,US,N,2,
0001752724-25-204874,152746868,USAA CAPITAL CORP,5493007XLF4LU3U2W757,USAA Capital Corp,90327QD55,14473000,PA,,USD,13163014.9,,0.061640158979,Long,DBT,,CORP,,US,Y,2,
0001752724-25-204874,152747114,Morgan Stanley,IGJSJL3JD5P30I6NJZ34,Morgan Stanley,617446448,717550,NS,,USD,101074093,,0.473312778913,Long,EC,,CORP,,US,N,1,
0001752724-25-204874,152745160,Deckers Outdoor Corp,5493008LG4W3I6K8J118,Deckers Outdoor Corp,243537107,138135,NS,,USD,14237574.45,,0.066672138506,Long,EC,,CORP,,US,N,1,
0001752724-25-204874,152746440,ELP 2021-ELP,,ELP Commercial Mortgage Trust,26863LAL8,2996512.13,PA,,USD,2995016.27,,0.014025151565,Long,ABS-MBS,,CORP,,US,Y,2,
0001752724-25-204874,152745647,Government National Mortgage A,549300M8ZYFG0OCMTT87,Government National Mortgage Association (GNMA),36179V7F1,4529265.76,PA,,USD,4019237.24,,0.018821404087,Long,ABS-MBS,,USGSE,,US,N,2,
0001752724-25-204874,152745910,Givaudan SA,213800SVRMQA1TD91D41,Givaudan S.A.,H3238Q102,3907,NS,,CHF,18947096.99,.79345,0.088726031196,Long,EC,,CORP,,CH,N,2,
0001752724-25-204874,152745911,Fannie Mae,B1V7KEBTPIMZEU4LTD58,Fannie Mae Pool,31402RRN1,549374.18,PA,,USD,557195.38,,0.002609251153,Long,ABS-MBS,,USGSE,,US,N,2,
